stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,
32488,,Punta Corralillo - Caleta Plata,,-36.7203208850751,-73.1471982211224,,,0,,
32489,,Punta Corralillo - Caleta Chipana,,-36.7184783462538,-73.146777114307,,,0,,
32490,,Punta Corralillo - Punta Lavapie,,-36.7169711726033,-73.1452294797054,,,0,,
32491,,Bahia Dichato - Playa El Huevillo,,-36.7167497166226,-73.1403693169705,,,0,,
32492,,Bahia Dichato - Caleta El Sold,,-36.7149135421821,-73.1393527597538,,,0,,
32493,,Bahia Dichato - Playa Chivilongo,,-36.7131805321804,-73.1384756774059,,,0,,
32494,,San Vicente - Playa El Parron / Sur,,-36.7127074952922,-73.1354260064109,,,0,,
32495,,San Vicente 882,,-36.7124552023585,-73.1324279076944,,,0,,
32496,,San Vicente - Camino San Francisco / Oriente,,-36.7116732544968,-73.1310030430905,,,0,,
32497,,Camino Nueva Los Lobos - Calle Uno / Oriente,,-36.7093940052628,-73.1294580906979,,,0,,
32498,,Camino Nuevo Los Lobos - Camino A Tumbes,,-36.710411074831,-73.1256547183148,,,0,,
32499,,Camino A Tumbes - Los Araucanos,,-36.7141007956002,-73.1262662606605,,,0,,
32500,,Los Araucanos - Violeta Parra / Norte,,-36.7146275769427,-73.1296619372733,,,0,,
32501,,Los Araucanos - Quentrahue / Poniente,,-36.7156166260326,-73.1317433327786,,,0,,
32502,,Los Araucanos - Runcamanque / Oriente,,-36.7181988441793,-73.1326767402061,,,,,
32503,,Los Araucanos - Rucamanque / Poniente,,-36.7180403104407,-73.1327532041178,,,0,,
32504,,Los Araucanos - Los Diaguitas,,-36.7207035773486,-73.1326499187708,,,0,,
32505,,Los Araucanos 1351 / Norte,,-36.7218838911039,-73.133779128766,,,0,,
32506,,Los Araucanos - Porvenir,,-36.7228706966171,-73.1356620394945,,,0,,
32507,,Los Araucanos - Los Yaganes / Poniente,,-36.7244637485977,-73.1369146311044,,,0,,
32508,,Almirante Latorre - La Marina,,-36.7236296042434,-73.1309654915094,,,0,,
32509,,Pedro Montt - La Marina / Sur,,-36.7245432929618,-73.1299167477846,,,0,,
32510,,Pedro Montt - Lautaro,,-36.7226320584742,-73.1269582715686,,,0,,
32511,,Brasil - Pedro Montt,,-36.7221784292314,-73.1258344259913,,,0,,
32512,,Municipalidad De Talcahuano,,-36.7235350097045,-73.1230315175708,,,0,,
32513,,Brasil - Talcahuano,,-36.7248501519977,-73.1202744656912,,,0,,
32514,,Valdivia - Miranda,,-36.7239348849774,-73.1176054087337,,,0,,
32515,,Valdivia - Riquelme / Oriente,,-36.7215098045546,-73.1182840079418,,,0,,
32516,,Valdivia - Freire Bajo,,-36.7174484833231,-73.1184985843356,,,0,,
32517,,Valdivia - Castellon,,-36.7152053892235,-73.1175761634222,,,0,,
32518,,Valdivia - Sgto Aldea,,-36.7142163348394,-73.1163101610946,,,0,,
32519,,Valdivia - Anibal Pinto,,-36.7131375289473,-73.1154596416854,,,0,,
32520,,Colon 135,,-36.7124107717168,-73.1147864073864,,,0,,
32521,,Colon 367,,-36.7135675591454,-73.113270959293,,,0,,
32522,,Colon - Covadonga,,-36.7146469269754,-73.1116106719128,,,0,,
32523,,Colon - Angamos,,-36.7174936341835,-73.1098806464433,,,0,,
32524,,Colon - Veintiuno De Mayo,,-36.7206584281124,-73.1102534734964,,,0,,
32525,,Colon - Orella,,-36.722593360524,-73.110001345849,,,0,,
32526,,Colon - Manuel Rodriguez,,-36.7244545812471,-73.1100445198535,,,0,,
32527,,Colon - O´Higgins,,-36.7262303330369,-73.1104361230246,,,0,,
32528,,Colon - Chabuco,,-36.728242515537,-73.1106882500171,,,0,,
