punto_id;punto_name;punto_lat;punto_lon
1;UNIMARC ZAPADORES;-33.38626173;-70.6641478
2;UNIMARC LAS REJAS;-33.46882;-70.70507104
3;UNIMARC JUAN ANTONIO RIOS;-33.41956667;-70.67080617
4;UNIMARC-INDEPENDENCIA;-33.39459154;-70.65786796
5;UNIMARC LO OVALLE;-33.51683208;-70.65963512
6;UNIMARC VICUÑA PARAD 19;-33.5394802;-70.59141
7;UNIMARC ROJAS MAGALLANES;-33.535927;-70.55477987
8;UNIMARC MIRADOR;-33.513935;-70.60716833
9;UNIMARC VICENTE VALDES;-33.5266;-70.595128
10;UNIMARC LA REINA;-33.43903393;-70.55662167
11;UNIMARC BATUCO;-33.23051417;-70.80771749
12;UNIMARC LAMPA;-33.28562289;-70.87704195
13;UNIMARC LARAPINTA;-33.29424983;-70.86674258
14;UNIMARC LAS CONDES;-33.36715867;-70.49928632
15;UNIMARC LOS MILITARES;-33.403826;-70.569019
16;UNIMARC ESC. MILITAR;-33.41519578;-70.58541373
17;UNIMARC MANQUEHUE;-33.42677676;-70.56382415
18;UNIMARC LOS TRAPENSES;-33.356825;-70.539645
19;UNIMARC 2da TRANSVERSAL MAIPU;-33.48849172;-70.74240076
20;UNIMARC EL ROSAL;-33.47909147;-70.75586504
21;UNIMARC MAIPU 4 PONIENTE ;-33.53111333;-70.79298833
22;UNIMARC SILVA CARVALLO;-33.53175788;-70.77488116
23;UNIMARC RINCONADA;-33.50743652;-70.78322806
24;UNIMARC RAMON FREIRE;-33.51362866;-70.75720412
25;UNIMARC ABRAZO DE MAIPU;-33.54210556;-70.77119667
26;UNIMARC IGNACIO CARRERA PINTO;-33.471126;-70.590836
27;UNIMARC IRARRAZAVAL;-33.45468281;-70.5832589
28;UNIMARC VILLA OLIMPICA;-33.46220267;-70.62012654
29;UNIMARC GRECIA;-33.45704364;-70.62477437
30;UNIMARC LOS LEONES;-33.44928174;-70.59799284
31;UNIMARC BUIN MAIPO;-33.73102;-70.7754
32;UNIMARC MANUEL MONTT;-33.453171;-70.612909
33;UNIMARC CONSISTORIAL;-33.48475083;-70.54804094
34;UNIMARC LAS PARCELAS;-33.47236773;-70.53850591
35;UNIMARC FCO. BILBAO;-33.43787741;-70.60635639
36;UNIMARC CIUDAD DE LOS VALLES;-33.44899;-70.843834
37;UNIMARC CONCHA y TORO;-33.58108722;-70.58109306
38;UNIMARC TRONCAL SAN FRANCISCO;-33.58999731;-70.55648055
39;UNIMARC CARRASCAL;-33.41897607;-70.69770881
40;UNIMARC SAN BERNARDO;-33.587456;-70.67803
41;UNIMARC BUIN;-33.732849;-70.739633
42;UNIMARC ALTO JAHUEL;-33.735082;-70.68438
43;UNIMARC SAN JOAQUIN;-33.50572389;-70.63829167
44;UNIMARC GRAN AVENIDA 1;-33.50367933;-70.655225
45;UNIMARC DIEGO PORTALES;-33.44124154;-70.63928769
46;UNIMARC ESTADO;-33.44197592;-70.64903178
47;UNIMARC ESPACIO M;-33.43862993;-70.65404277
48;UNIMARC LAS TRANQUERAS;-33.38471122;-70.55406998
49;UNIMARC RENCA BIGGER;-33.4003926;-70.74520527
50;UNIMARC VITACURA;-33.39845425;-70.58644919
51;UNIMARC SANTA MARIA;-33.37672679;-70.56850153
52;UNIMARC PUDAHUEL;-33.444551;-70.74089
53;UNIMARC HUECHURABA;-33.34913513;-70.67026189
54;UNIMARC PORTUGAL;-33.4492999;-70.63514241
55;UNIMARC EL ABRAZO;-33.543589;-70.780068
56;UNIMARC LOS DOMINICOS;-33.40979394;-70.54444399
57;UNIMARC ALFEREZ REAL;-33.43751413;-70.61596575
58;OK MARKET ELIODORO YAÑEZ;-33.43295614;-70.62545893
59;OK MARKET EL RODEO;-33.35236727;-70.51831066
60;Ok Market Ciudad Empresarial;-33.3930467;-70.61449085
61;Ok Market Brown Norte;-33.45514364;-70.59221381
62;Ok Market Macul;-33.48583126;-70.59925146
63;Ok Market Rosario Norte;-33.40451726;-70.57304242
64;Ok Market Tobalaba;-33.41845301;-70.60213904
65;Ok Market Encomenderos;-33.41662926;-70.60224309
66;Ok Market Santa Blanca;-33.35502555;-70.53240409
67;Ok Market Los Ingleses;-33.28618698;-70.67552244
68;UNIMARC TALAGANTE;-33.670833;-70.942314
69;LIDER EXPRESS LYON;-33.42195385;-70.60816616
70;LIDER HIPER INDEPENDENCIA;-33.39004531;-70.67557636
71;LIDER EXPRESS SANTO DOMINGO;-33.43608804;-70.65165481
72;LIDER HIPER PUENTE ALTO;-33.59946712;-70.5775014
73;LIDER EXPRESS HUERFANOS;-33.43926193;-70.64857297
74;LIDER HIPER PUENTE NUEVO;-33.37071591;-70.51241327
75;LIDER HIPER DEPARTAMENTAL;-33.51396927;-70.59084231
76;LIDER EXPRESS SAN PABLO;-33.43511172;-70.67030959
77;LIDER EXPRESS VITACURA;-33.39989905;-70.5905763
78;LIDER EXPRESS MAIPU;-33.5102456;-70.77678711
79;LIDER EXPRESS NONATO COO;-33.57819761;-70.56950876
80;LIDER EXPRESS PLAZA ITALIA;-33.44081747;-70.6302176
81;LIDER HIPER IRARRAZAVAL;-33.45476517;-70.60062107
82;LIDER EXPRESS LAS REJAS;-33.45711517;-70.70642142
83;LIDER EXPRESS PUENTE ALTO;-33.59465742;-70.55920165
84;LIDER HIPER LOS MORROS;-33.54591631;-70.66781838
85;LIDER HIPER MATUCANA;-33.43157147;-70.68043902
86;LIDER HIPER HUECHURABA;-33.36843862;-70.67782127
87;LIDER HIPER AVDA CENTRAL;-33.503596;-70.757311
88;LIDER HIPER MAIPU;-33.48156735;-70.74546173
89;LIDER HIPER QUILIN;-33.48523393;-70.57936075
90;LIDER HIPER VESPUCIO MAIPU;-33.47150984;-70.75968337
91;LIDER HIPER CORDILLERA;-33.5664713;-70.55810641
92;LIDER VICUÑA MACKENNA;-33.52079733;-70.60117578
93;LIDER HIPER MACUL;-33.47415316;-70.59890146
94;LIDER HIPER VITACURA;-33.38648768;-70.56810589
95;LIDER HIPER PLAZA VESPUCIO;-33.51453451;-70.60018983
96;LIDER EXPRESS COLON ;-33.41778739;-70.55354602
97;LIDER EXPRESS LATADIA ;-33.42851359;-70.57468637
98;LIDER HIPER TALAGANTE ;-33.66237908;-70.9252302
99;LIDER EXPRESS P. DE VALDIVIA;-33.44008116;-70.60718534
100;LIDER EXPRESS ESTORIL ;-33.38425;-70.53394388
101;LIDER EXPRESS M MONTT ;-33.42939012;-70.6197662
102;LIDER EXPRESS TOBALABA ;-33.42292359;-70.59789187
103;LIDER EXPRESS LA DEHESA ;-33.35295179;-70.52079271
